page,date,description_raw,amount,balance,balance_ok,description_clean,statement_id,bank
1,2026-09-07,POS PURCHASE PIN CHECKERS SUP JOHANNESBURG VUS,-551.36,12863.58,True,pin checkers sup johannesburg vus,STMT002,karoo
1,2026-09-08,GULF VERNON POLOKWANE,-233.56,12630.02,True,gulf vernon polokwane,STMT002,karoo
1,2026-09-11,AMPATH LAB CONSULTATION 2259*4386,-1426.54,11203.48,True,ampath lab consultation,STMT002,karoo
1,2026-09-13,DBT CRD SHELL NEW CASTLE DURBAN 8533*8591,-989.72,10213.76,True,dbt crd shell new castle durban,STMT002,karoo
1,2026-09-13,POS PURCHASE NONTD ATM FEE,-96.96,10116.8,True,nontd atm fee,STMT002,karoo
1,2026-09-13,POS PURCHASE SHOPRITE FREDERICKBURG,-529.81,9586.99,True,shoprite frederickburg,STMT002,karoo
1,2026-09-15,CARD PURCHASE MONTHLY MAINTENANCE FEE,-117.06,9469.93,True,monthly maintenance fee,STMT002,karoo
1,2026-09-15,POS PURCHASE MUGG BEAN,-173.81,9296.12,True,mugg bean,STMT002,karoo
1,2026-09-16,POS PURCHASE ATM FEE 2163*6083,-96.96,9199.16,True,atm fee,STMT002,karoo
1,2026-09-16,IASSECRET COM JOHANNESBURG 9638*9628,-696.6,8502.56,True,iassecret com johannesburg,STMT002,karoo
1,2026-09-17,POS PURCHASE WOOLWORTHS FOOD COM CENTURION 2753*2571 17 SEP,-940.13,7562.43,True,woolworths food com centurion,STMT002,karoo
1,2026-09-18,POS PURCHASE SUPER FOODS 6196*2382 18 SEP,-621.24,6941.19,True,super foods,STMT002,karoo
1,2026-09-19,POS PURCHASE SHELL GAS 19 SEP,-351.29,6589.9,True,shell gas,STMT002,karoo
1,2026-09-23,POS PURCHASE BURGER KING MELBOURNE 2590*7613 23 SEP,-535.18,6054.72,True,burger king melbourne,STMT002,karoo
1,2026-09-23,CARD PURCHASE NFL 2646*7171 23 SEP,-125.66,5929.06,True,nfl,STMT002,karoo
1,2026-09-24,CHICKEN LICKEN CENTURION,-166.11,5762.95,True,chicken licken centurion,STMT002,karoo
1,2026-09-24,CARD PURCHASE CKO PATREON MEMBER CAUS PRETORIA,-411.19,5351.76,True,cko patreon member caus pretoria,STMT002,karoo
1,2026-09-24,WOOLWORTHS FOOD HATFIELD 5437*2633 24 SEP,-178.85,5172.91,True,woolworths food hatfield,STMT002,karoo
1,2026-09-25,CARD PURCHASE WOOLWORTHS,-2546.34,2626.57,True,woolworths,STMT002,karoo
1,2026-09-25,SALARY BAOBAB CONSULTING,28600.0,31226.57,True,salary baobab consulting,STMT002,karoo
1,2026-09-25,POS PURCHASE SASOL,-1100.46,30126.11,True,sasol,STMT002,karoo
1,2026-09-26,TRANSFER TO SAVINGS,-1300.0,28826.11,True,transfer savings,STMT002,karoo
1,2026-09-26,CARD PURCHASE SASOL TUSCALOOSA 7174*6755 26 SEP,-215.76,28610.35,True,sasol tuscaloosa,STMT002,karoo
1,2026-09-27,POS PURCHASE SPAR ROCHESTER 27 SEP,-890.05,27720.3,True,spar rochester,STMT002,karoo
1,2026-09-27,POS PURCHASE SCHOOL FEES DEPT EDUC TUITION POLOKWANE 5303*6293,-2018.59,25701.71,True,school fees dept educ tuition polokwane,STMT002,karoo
1,2026-09-28,ATM FEE CAPE TOWN 7495*6310 28 SEP,-96.96,25604.75,True,atm fee cape town,STMT002,karoo
2,2026-09-28,BURLINGTON STO BURLINGTON STORES MOINES 3121*6395,-270.34,25334.41,True,burlington sto burlington stores moines,STMT002,karoo
2,2026-09-30,MONTHLY ACCOUNT FEE,-99.0,25235.41,True,monthly account fee,STMT002,karoo
2,2026-09-30,POS PURCHASE FOOD LION RALEIGH DURBAN 30 SEP,-130.97,25104.44,True,food lion raleigh durban,STMT002,karoo
1,2026-08-01,DEBIT ORDER ESKOM FIBRE MIDRAND,-373.86,32153.58,True,eskom fibre midrand,STMT003,highveld
1,2026-08-02,CITY POWER,-2394.84,29758.74,True,city power,STMT003,highveld
1,2026-08-03,CARD PURCHASE ESKOM RATES TAXES SOWETO 8402*1495 03 AUG,-854.19,28904.55,True,eskom rates taxes soweto,STMT003,highveld
1,2026-08-03,MAGTAPE DEBIT MONTESSORI PRE SCHOOL MENLYN 8978*7113,-1897.35,27007.2,True,montessori pre school menlyn,STMT003,highveld
1,2026-08-03,EFT PAYMENT ALABAMAPOWERRW MIDRAND,-2098.15,24909.05,True,alabamapowerrw midrand,STMT003,highveld
1,2026-08-03,CREDITNINJA,-714.3,24194.75,True,creditninja,STMT003,highveld
1,2026-08-04,SHELL SIG PUR HARRISONBURG 8577*1698,-812.6,23382.15,True,shell sig pur harrisonburg,STMT003,highveld
1,2026-08-05,POS PURCHASE SASOL HATFIELD,-1698.82,21683.33,True,sasol hatfield,STMT003,highveld
1,2026-08-05,INTERNET PMT TO MEDICLINIC DURBAN 05 AUG,-229.96,21453.37,True,mediclinic durban,STMT003,highveld
1,2026-08-05,POS PURCHASE BOXER SUP 3742*8069,-96.05,21357.32,True,boxer sup,STMT003,highveld
1,2026-08-06,POS PURCHASE MONTHLY MAINTENANCE FEE SANDTON 9346*4781,-138.88,21218.44,True,monthly maintenance fee sandton,STMT003,highveld
1,2026-08-06,ENGEN HATFIELD,-535.69,20682.75,True,engen hatfield,STMT003,highveld
1,2026-08-06,POS PURCHASE SANFORD,-294.3,20388.45,True,sanford,STMT003,highveld
1,2026-08-06,DEBIT ORDER FBS GREENWOOD UD RANDBURG 06 AUG,-756.52,19631.93,True,fbs greenwood ud randburg,STMT003,highveld
1,2026-08-07,POS PURCHASE WOOLWORTHS FOOD HATFIELD 3853*3687,-638.53,18993.4,True,woolworths food hatfield,STMT003,highveld
1,2026-08-07,POS PURCHASE PIN USE FEE ASTRON ENERGY ATKINSONS PEMBROKE WADE ROSEBANK,-93.95,18899.45,True,pin use fee astron energy atkinsons pembroke wade rosebank,STMT003,highveld
1,2026-08-07,POS PURCHASE EAST NORTHPOR,-135.81,18763.64,True,east northpor,STMT003,highveld
1,2026-08-09,CARD PURCHASE ENGEN ELYSBURG PIN 2556*1598 09 AUG,-769.27,17994.37,True,engen elysburg pin,STMT003,highveld
1,2026-08-09,POS PURCHASE PUBLIX SNELLVILLE 09 AUG,-84.52,17909.85,True,publix snellville,STMT003,highveld
1,2026-08-10,POS PURCHASE MONTHLY MAINTENANCE FEE CAPE TOWN 1065*2532,-117.06,17792.79,True,monthly maintenance fee cape town,STMT003,highveld
1,2026-08-10,SPUR WASKOM PRETORIA 6277*1125 10 AUG,-310.08,17482.71,True,spur waskom pretoria,STMT003,highveld
1,2026-08-12,CARD PURCHASE CONOCO PROSPECT 7948*7934,-1322.66,16160.05,True,conoco prospect,STMT003,highveld
1,2026-08-12,CHICKEN LICKEN MILFORD 8599*5781,-139.43,16020.62,True,chicken licken milford,STMT003,highveld
1,2026-08-13,POS PURCHASE PIQUA KWIKSPAR,-155.37,15865.25,True,piqua kwikspar,STMT003,highveld
1,2026-08-13,POS PURCHASE TOTALENERGIES 13 AUG,-635.86,15229.39,True,totalenergies,STMT003,highveld
1,2026-08-13,FORT WORTH 7797*5316 13 AUG,-2373.68,12855.71,True,fort worth,STMT003,highveld
1,2026-08-15,STARS CHERRY HILL 1401*2732,-276.23,12579.48,True,stars cherry hill,STMT003,highveld
1,2026-08-15,SHOPRITE MIDDLEBR KNOXVILLE PIN 6151*3234,-207.53,12371.95,True,shoprite middlebr knoxville pin,STMT003,highveld
1,2026-08-15,POS PURCHASE OG USPAYMENTSBILLPA,-1446.05,10925.9,True,og uspaymentsbillpa,STMT003,highveld
1,2026-08-16,CARD PURCHASE MICROSOFT 2597*3847 16 AUG,-145.01,10780.89,True,microsoft,STMT003,highveld
1,2026-08-16,POS PURCHASE DEB CITY MARKET RAILROAD AVE RIFLE 16 AUG,-1271.78,9509.11,True,deb city market railroad ave rifle,STMT003,highveld
2,2026-08-16,SHOPRITE SUPER CENTER STRONGSVILLE 5267*9759 16 AUG,-719.26,8789.85,True,shoprite super center strongsville,STMT003,highveld
2,2026-08-18,CARD PURCHASE PIN PICK PAY SUP DURBAN VUS 9464*5154,-77.44,8712.41,True,pin pick pay sup durban vus,STMT003,highveld
2,2026-08-18,POS PURCHASE TOTALENERGIES WINTER SPRING 2274*8585 18 AUG,-398.68,8313.73,True,totalenergies winter spring,STMT003,highveld
2,2026-08-19,INTL FEE ANT MIGROS ANTALYA TR 4705*8560,-34.46,8279.27,True,intl fee ant migros antalya tr,STMT003,highveld
2,2026-08-20,LUKOIL HIGHLAND CROS RUTHERFORD RANDBURG 7610*1141,-185.71,8093.56,True,lukoil highland cros rutherford randburg,STMT003,highveld
2,2026-08-21,POS PURCHASE FSI CITY POWER LOCAL 21 AUG,-390.27,7703.29,True,fsi city power local,STMT003,highveld
2,2026-08-21,POS PURCHASE ROMANS PIZZA,-354.61,7348.68,True,romans pizza,STMT003,highveld
2,2026-08-22,POS PURCHASE WW INT DIGITAL,-184.99,7163.69,True,ww int digital,STMT003,highveld
2,2026-08-22,POS PURCHASE ENGEN GAS 8535*1374 22 AUG,-427.25,6736.44,True,engen gas,STMT003,highveld
2,2026-08-22,BP MIDRAND 22 AUG,-371.26,6365.18,True,bp midrand,STMT003,highveld
2,2026-08-24,CARD PURCHASE BP,-1001.72,5363.46,True,bp,STMT003,highveld
2,2026-08-24,CARD PURCHASE WOOLWORTHS FOOD 2815*7275,-450.86,4912.6,True,woolworths food,STMT003,highveld
2,2026-08-24,CARD PURCHASE NANDOS COVINGTON,-69.46,4843.14,True,nandos covington,STMT003,highveld
2,2026-08-24,CARD PURCHASE ATM FEE HATFIELD,-96.96,4746.18,True,atm fee hatfield,STMT003,highveld
2,2026-08-25,SALARY ACACIA LOGISTICS,35900.0,40646.18,True,salary acacia logistics,STMT003,highveld
2,2026-08-26,POS PURCHASE RACETRAC CENTURION 26 AUG,-539.78,40106.4,True,racetrac centurion,STMT003,highveld
2,2026-08-27,CARD PURCHASE MUGG BEAN 27 AUG,-170.32,39936.08,True,mugg bean,STMT003,highveld
2,2026-08-28,POS PURCHASE VIRGIN ACTIVE 28 AUG,-296.07,39640.01,True,virgin active,STMT003,highveld
2,2026-08-28,CARD PURCHASE PUBLIX OCOEE BLOEMFONTEIN 2557*7931,-503.19,39136.82,True,publix ocoee bloemfontein,STMT003,highveld
2,2026-08-30,CARD PURCHASE WOOLWORTHS FOOD,-166.01,38970.81,True,woolworths food,STMT003,highveld
2,2026-08-30,POS PURCHASE TJMA AMARILLO,-181.6,38789.21,True,tjma amarillo,STMT003,highveld
2,2026-08-31,ATM FEE,-47.42,38741.79,True,atm fee,STMT003,highveld
2,2026-08-31,MONTHLY ACCOUNT FEE,-65.0,38676.79,True,monthly account fee,STMT003,highveld
2,2026-08-31,POS PURCHASE CHECKERS HYPER FORT OGLETHOR 6546*2972,-199.98,38476.81,True,checkers hyper fort oglethor,STMT003,highveld
1,2026-09-01,DEBIT ORDER CITY POWER SERVICES LLC NEW ORLEANS 01 SEP,-1602.49,19987.01,True,city power services llc new orleans,STMT004,protea
1,2026-09-01,CARD PURCHASE WOOLWORTHS FOOD ROSEBANK 5959*8024,-138.78,19848.23,True,woolworths food rosebank,STMT004,protea
1,2026-09-01,INTERNET PMT TO ESKOM ACCOUNT,-2052.89,17795.34,True,eskom account,STMT004,protea
1,2026-09-02,POS PURCHASE VIDA CAFFE SOWETO 8625*8864 02 SEP,-67.48,17727.86,True,vida caffe soweto,STMT004,protea
1,2026-09-02,POS PURCHASE WOOLWORTHS FOOD 6719*4460 02 SEP,-354.18,17373.68,True,woolworths food,STMT004,protea
1,2026-09-04,INTERNET PMT TO SCHOOL FEES DEPT EDUC 04 SEP,-4646.7,12726.98,True,school fees dept educ,STMT004,protea
1,2026-09-05,DEBIT ORDER GRID RANDBURG,-264.9,12462.08,True,grid randburg,STMT004,protea
1,2026-09-05,POS PURCHASE MONTHLY MAINTENANCE FEE JOHANNESBURG 4236*9652 05 SEP,-117.06,12345.02,True,monthly maintenance fee johannesburg,STMT004,protea
1,2026-09-05,POS PURCHASE CHECKERS SUP DARIEN,-607.25,11737.77,True,checkers sup darien,STMT004,protea
1,2026-09-06,POS PURCHASE ROAD TRAC RO 4843*6875,-154.17,11583.6,True,road trac ro,STMT004,protea
1,2026-09-06,EFT PAYMENT EGOLI GAS,-2449.43,9134.17,True,egoli gas,STMT004,protea
1,2026-09-06,DEBIT ORDER VIRGIN ACTIVE MENLYN 3769*7160,-321.21,8812.96,True,virgin active menlyn,STMT004,protea
1,2026-09-07,CARD PURCHASE TIME PM DATE SPAR ABERDEEN 3609*2008,-927.86,7885.1,True,time pm date spar aberdeen,STMT004,protea
1,2026-09-08,POS PURCHASE SPAR MEMBERSHI 8919*7600,-191.33,7693.77,True,spar membershi,STMT004,protea
1,2026-09-08,POS PURCHASE WENDYS SGT PRENTISS NATCHEZ 7031*7237 08 SEP,-98.31,7595.46,True,wendys sgt prentiss natchez,STMT004,protea
1,2026-09-09,POS PURCHASE FASTLANE HARVARD BLVD SA 6720*3858 09 SEP,-855.95,6739.51,True,fastlane harvard blvd sa,STMT004,protea
1,2026-09-09,BRAUMS STORE,-51.0,6688.51,True,braums store,STMT004,protea
1,2026-09-10,POS PURCHASE CONNECT PRETORIA 2117*9009,-927.4,5761.11,True,connect pretoria,STMT004,protea
1,2026-09-11,POS PURCHASE VIDA CAFFE ROSEBANK 11 SEP,-53.2,5707.91,True,vida caffe rosebank,STMT004,protea
1,2026-09-12,POS PURCHASE AMAZON PRIME TR RY AMZN COM,-94.62,5613.29,True,amazon prime tr ry amzn com,STMT004,protea
1,2026-09-13,POS PURCHASE STARS CHERRY HILL 13 SEP,-130.99,5482.3,True,stars cherry hill,STMT004,protea
1,2026-09-15,POS PURCHASE CHECKERS COM 8774*7403 15 SEP,-1137.11,4345.19,True,checkers com,STMT004,protea
1,2026-09-15,POS PURCHASE WOOLWORTHS FOOD PRETORIA,-317.07,4028.12,True,woolworths food pretoria,STMT004,protea
1,2026-09-16,CARD PURCHASE WOOLWORTHS FOOD WEST PALM BEAFL 6376*3182,-743.74,3284.38,True,woolworths food west palm beafl,STMT004,protea
1,2026-09-19,POS PURCHASE MUGG BEAN,-63.52,3220.86,True,mugg bean,STMT004,protea
1,2026-09-19,POS PURCHASE DANDY MINI MART 1185*9268 19 SEP,-101.53,3119.33,True,dandy mini mart,STMT004,protea
1,2026-09-21,POS PURCHASE ATM FEE PRETORIA,-47.42,3071.91,True,atm fee pretoria,STMT004,protea
1,2026-09-22,POS PURCHASE VIDA CAFFE BOLINGBROOK BLOEMFONTEIN 22 SEP,-153.01,2918.9,True,vida caffe bolingbrook bloemfontein,STMT004,protea
1,2026-09-23,STOCKDALE SHELL BAKERSFIELD 5933*8192,-333.55,2585.35,True,stockdale shell bakersfield,STMT004,protea
1,2026-09-23,POS PURCHASE SHOPRITE BOSSIER CITY 1461*3214 23 SEP,-392.94,2192.41,True,shoprite bossier city,STMT004,protea
1,2026-09-23,POS PURCHASE LLOYD AVE LOMBARD,-84.9,2107.51,True,lloyd ave lombard,STMT004,protea
1,2026-09-24,POS PURCHASE FRISCO 2256*1322,-79.26,2028.25,True,frisco,STMT004,protea
1,2026-09-24,POS PURCHASE PANDA EXPRESS MESQUITE 24 SEP,-111.26,1916.99,True,panda express mesquite,STMT004,protea
1,2026-09-25,SALARY BAOBAB CONSULTING,35200.0,37116.99,True,salary baobab consulting,STMT004,protea
1,2026-09-26,POS PURCHASE VILLAGE MARKET CAPE TOWN 7694*3976,-159.96,36957.03,True,village market cape town,STMT004,protea
1,2026-09-26,TRANSFER TO SAVINGS,-1800.0,35157.03,True,transfer savings,STMT004,protea
2,2026-09-26,POS PURCHASE SHELL 4449*1171 26 SEP,-610.04,34546.99,True,shell,STMT004,protea
2,2026-09-27,POS PURCHASE HIRES FUEL 9793*3718,-254.03,34292.96,True,hires fuel,STMT004,protea
2,2026-09-28,POS PURCHASE BRAUMS STORE,-210.73,34082.23,True,braums store,STMT004,protea
2,2026-09-28,POS PURCHASE WOOLWORTHS SOWETO 2381*1995,-744.74,33337.49,True,woolworths soweto,STMT004,protea
2,2026-09-29,POS PURCHASE PLAYSTATION NETWOR,-636.89,32700.6,True,playstation networ,STMT004,protea
2,2026-09-30,SASOL 3236*9268,-755.84,31944.76,True,sasol,STMT004,protea
2,2026-09-30,CARD PURCHASE CELL AIRTIME SOWETO,-637.85,31306.91,True,cell airtime soweto,STMT004,protea
2,2026-09-30,CARD PURCHASE WOOLWORTHS RANDBURG,-275.13,31031.78,True,woolworths randburg,STMT004,protea
2,2026-09-30,POS PURCHASE SHELL,-1039.2,29992.58,True,shell,STMT004,protea
2,2026-09-30,MONTHLY ACCOUNT FEE,-69.0,29923.58,True,monthly account fee,STMT004,protea
1,2026-06-01,EFT PAYMENT SHENANDOAH CITY TSHWANE RATES PEREZ 7970*4042,-934.43,26304.74,True,shenandoah city tshwane rates perez,STMT005,karoo
1,2026-06-02,MAGTAPE DEBIT FSI CITY POWER LOCAL CAPE TOWN 8371*4810,-188.76,26115.98,True,fsi city power local cape town,STMT005,karoo
1,2026-06-02,MONTHLY MAINTENANCE FEE POLOKWANE,-117.06,25998.92,True,monthly maintenance fee polokwane,STMT005,karoo
1,2026-06-02,DEBIT ORDER EKURHULENI ELECTRICITY 5804*5589 02 JUN,-1422.65,24576.27,True,ekurhuleni electricity,STMT005,karoo
1,2026-06-02,CHECKERS COMPANY RETRY TDC GRAND PRAI GRAND PRAIRIE 2161*8087,-1103.35,23472.92,True,checkers company retry tdc grand prai grand prairie,STMT005,karoo
1,2026-06-04,POS PURCHASE DD DOORDASH SHOPRITE HATFIELD,-406.26,23066.66,True,dd doordash shoprite hatfield,STMT005,karoo
1,2026-06-05,DEBIT ORDER CELL ACCOUNT,-320.33,22746.33,True,cell account,STMT005,karoo
1,2026-06-05,POS PURCHASE APPLE MUSIC,-167.26,22579.07,True,apple music,STMT005,karoo
1,2026-06-06,UNIVERSITY PRETORIA,-2481.33,20097.74,True,university pretoria,STMT005,karoo
1,2026-06-07,AMPATH LAB CONSULTATION 2070*4034 07 JUN,-601.34,19496.4,True,ampath lab consultation,STMT005,karoo
1,2026-06-07,POS PURCHASE ROMANS PIZZA SOWETO,-88.63,19407.77,True,romans pizza soweto,STMT005,karoo
1,2026-06-07,POS PURCHASE MCDONALDS HONOLULU HIUS CENTURION 2509*1352,-194.09,19213.68,True,mcdonalds honolulu hius centurion,STMT005,karoo
1,2026-06-08,POS PURCHASE CASH SHOPRITE JOHANNESBURG 2615*1553 08 JUN,-2588.92,16624.76,True,cash shoprite johannesburg,STMT005,karoo
1,2026-06-08,POS PURCHASE AVA 9784*4962 08 JUN,-288.12,16336.64,True,ava,STMT005,karoo
1,2026-06-08,SQ ONIT COFFEE ARDEN HATFIELD,-158.51,16178.13,True,sq onit coffee arden hatfield,STMT005,karoo
1,2026-06-08,POS PURCHASE ROKU CHANNEL BLOEMFONTEIN 3603*5155,-84.05,16094.08,True,roku channel bloemfontein,STMT005,karoo
1,2026-06-09,CARD PURCHASE TMB OAKLAND HTTPSTMBOOTCACA,-2439.64,13654.44,True,tmb oakland httpstmbootcaca,STMT005,karoo
1,2026-06-09,CARD PURCHASE COURTESY PAY FEE JOHANNESBURG,-284.13,13370.31,True,courtesy pay fee johannesburg,STMT005,karoo
1,2026-06-09,POS PURCHASE SCHOENERSVILLE BETHLEHEM PADATE,-832.24,12538.07,True,schoenersville bethlehem padate,STMT005,karoo
1,2026-06-10,POS PURCHASE SASOL 7645*9047,-247.06,12291.01,True,sasol,STMT005,karoo
1,2026-06-10,POS PURCHASE SUNSHINE CAPE CORAL 10 JUN,-570.47,11720.54,True,sunshine cape coral,STMT005,karoo
1,2026-06-10,CARD PURCHASE SPUR RANDBURG 6689*8281,-177.89,11542.65,True,spur randburg,STMT005,karoo
1,2026-06-10,LOVE DBT CRD CORBINKY 10 JUN,-53.22,11489.43,True,love dbt crd corbinky,STMT005,karoo
1,2026-06-11,CARD PURCHASE WOOLWORTHS FOOD CANTON 3202*1328,-259.37,11230.06,True,woolworths food canton,STMT005,karoo
